stop_id,stop_name,stop_lat,stop_lon
13190,Interlaken Turnback Loop & 19th Ave E,47.6325073,-122.307373
13200,19th Ave E & E Galer St,47.631897,-122.307327
13210,19th Ave E & E Highland Dr,47.6304359,-122.307358
13220,19th Ave E & E Prospect St,47.6284943,-122.307373
13230,19th Ave E & E Aloha St,47.6266518,-122.307411
13240,19th Ave E & E Mercer St,47.6241951,-122.307396
13250,19th Ave E & E Harrison St,47.6219025,-122.307426
13260,19th Ave E & E John St,47.6194572,-122.307465
13270,19th Ave & E Denny Way,47.6182632,-122.307495
13277,E Madison St & 13th Ave,47.6131248,-122.316277
13282,E Madison St & Broadway Ct,47.6116257,-122.319855
13283,Madison St & Summit Ave,47.610424,-122.322723
13284,Madison St & Boren Ave,47.609211,-122.325638
13285,Madison St & 9th Ave,47.6083336,-122.327736
13291,Madison St & Boren Ave,47.6094246,-122.324745
13292,Madison St & Summit Ave,47.6103477,-122.322533
13293,E Madison St & Broadway,47.6112671,-122.320335
13294,E Madison St & 14th Ave,47.6137772,-122.314308
13310,19th Ave E & E Denny Way,47.6186981,-122.307274
13320,19th Ave E & E John St,47.619873,-122.307259
13330,19th Ave E & E Thomas St,47.6206818,-122.307251
13340,19th Ave E & E Harrison St,47.6218605,-122.307236
13350,19th Ave E & E Republican St,47.6234016,-122.307205
13360,19th Ave E & E Roy St,47.6254692,-122.30722
13370,19th Ave E & E Aloha St,47.6270447,-122.30719
13380,19th Ave E & E Prospect St,47.6288605,-122.307167
13381,19th Ave E & E Highland Dr,47.630806,-122.307152
1340,Yesler Way & Prefontaine Pl S,47.6016464,-122.329582
13441,Bellevue Ave & E Olive Way,47.6167336,-122.326889
13460,Bellevue Ave & E Olive St,47.6165085,-122.326691
1350,Yesler Way & 6th Ave S,47.6016388,-122.32505
13540,NW 105th St & 14th Ave NW,47.7051239,-122.373596
13541,NW 103rd St & 13th Ave NW,47.7034264,-122.373131
13542,14th Ave NW & NW 100th St,47.7016335,-122.374199
13550,15th Ave NW & NW 100th St,47.7012444,-122.376877
13560,15th Ave NW & NW 96th St,47.6987267,-122.3769
13570,15th Ave NW & NW 92nd St,47.6956444,-122.3769
13585,15th Ave NW & NW 87th St,47.6930084,-122.37674
1360,Yesler Way & 5th Ave,47.6017799,-122.327141
13600,15th Ave NW & NW 85th St,47.6901588,-122.376915
13620,15th Ave NW & NW 80th St,47.6862793,-122.3769
13640,15th Ave NW & NW 75th St,47.682991,-122.376892
13660,15th Ave NW & NW 70th St,47.6788483,-122.376877
13670,15th Ave NW & NW 65th St,47.6760826,-122.376686
1370,Yesler Way & 3rd Ave,47.6017799,-122.329803
13700,15th Ave NW & NW 60th St,47.6724358,-122.376312
13721,15th Ave NW & NW Market St,47.6689072,-122.376312
13760,15th Ave NW & NW Leary Way,47.6631432,-122.37648
13770,15th Ave W & W Emerson St,47.6534042,-122.376328
13775,W Emerson Pl & 21st Ave W,47.6558075,-122.38372
13800,15th Ave W & W Dravus St,47.6480637,-122.376877
13810,15th Ave W & W Armour St,47.644825,-122.376328
13830,15th Ave W & W Wheeler St,47.6403198,-122.376312
13840,15th Ave W & W Armory Way,47.6372871,-122.376305
13870,Elliott Ave W & W Galer St,47.6318817,-122.375305
13890,Elliott Ave W & W Prospect St,47.6290588,-122.371742
13910,W Mercer St & 3rd Ave W,47.6245308,-122.360809
13950,1st Ave & Wall St,47.6144524,-122.348503
1400,Madison St & 5th Ave,47.6066818,-122.331688
14035,1st Ave & Cedar St,47.615818,-122.350487
14038,W Mercer St & 3rd Ave W,47.6246681,-122.361153
1404,S Washington St & 3rd Ave S,47.6008034,-122.329758
14070,Elliott Ave W & W Prospect St,47.6290131,-122.371414
14090,Elliott Ave W & W Galer St,47.6320915,-122.37529
14110,15th Ave W & W Newton St,47.6370888,-122.376099
14130,15th Ave W & W Wheeler St,47.6409225,-122.376114
1415,Madison St & 4th Ave,47.6059036,-122.333534
14150,15th Ave W & W Armour St,47.6449356,-122.376122
14170,15th Ave W & W Dravus St,47.6491623,-122.376045
14190,15th Ave W & W Emerson St,47.6539421,-122.376122
14195,W Emerson Pl & 21st Ave W,47.6552963,-122.382843
1420,Madison St & 2nd Ave,47.6053276,-122.334923
14200,15th Ave NW & NW Leary Way,47.6634369,-122.375977
14230,15th Ave NW & NW Market St,47.6684799,-122.376114
14250,15th Ave NW & NW 60th St,47.6722946,-122.376114
14280,15th Ave NW & NW 65th St,47.6767349,-122.376671
14300,15th Ave NW & NW 70th St,47.6798744,-122.376671
14320,15th Ave NW & NW 75th St,47.6834221,-122.376686
14340,15th Ave NW & NW 80th St,47.68713,-122.376701
14360,15th Ave NW & NW 85th St,47.6909561,-122.376709
14370,15th Ave NW & NW 90th St,47.6937408,-122.376701
14380,15th Ave NW & NW 92nd St,47.6962891,-122.376701
14390,15th Ave NW & NW 96th St,47.6988297,-122.376701
14400,15th Ave NW & NW 100th St,47.7014084,-122.376671
14410,14th Ave NW & NW 100th St,47.7017822,-122.373993
14420,14th Ave NW & NW 103rd St,47.7033081,-122.373993
1471,S Jackson St & 5th Ave S,47.5991287,-122.328041
1480,S Jackson St & Maynard Ave S,47.5991173,-122.32457
1490,S Jackson St & 8th Ave S,47.5991173,-122.322044
14960,Alki Ave SW & 61st Ave SW,47.5789948,-122.410797
14961,61st Ave SW & SW Stevens St,47.5775185,-122.410797
14962,61st Ave SW & SW Admiral Way,47.5760269,-122.410835
14963,SW Admiral Way & 60th Ave SW,47.5758171,-122.409019
14970,SW Admiral Way & 59th Ave SW,47.5760765,-122.407791
14980,SW Admiral Way & 57th Ave SW,47.577034,-122.405182
1500,S Jackson St & 8th Ave S,47.5992661,-122.322327
15000,SW Admiral Way & SW Stevens St,47.5785828,-122.400917
15002,SW Admiral Way & 51st Ave SW,47.5791893,-122.396996
15030,SW Admiral Way & SW Lander St,47.5795288,-122.393799
15040,SW Admiral Way & 47th Ave SW,47.5811577,-122.391571
15050,SW Admiral Way & 45th Ave SW,47.5811424,-122.388924
15060,SW Admiral Way & California Ave SW,47.5811234,-122.386177
15070,SW Admiral Way & 41st Ave SW,47.5811119,-122.38398
15080,SW Admiral Way & 39th Ave SW,47.5810432,-122.38092
15090,SW Admiral Way & Belvidere Ave SW,47.5810242,-122.378922
1510,S Jackson St & Maynard Ave S,47.5992622,-122.32547
15100,SW Admiral Way & SW Olga St,47.5802498,-122.376793
15120,SW Admiral Way & SW City View St,47.573616,-122.373352
15140,SW Spokane St & 26th Ave SW,47.5714531,-122.365234
15145,SW Spokane St & Chelan Ave SW,47.5713043,-122.362411
15190,1st Ave S & S Spokane St,47.5723419,-122.333992
15201,1st Ave S & S Atlantic St,47.589901,-122.334297
15202,1st Ave S & S Holgate St,47.585762,-122.334297
15203,1st Ave S & S Stacy St,47.5815544,-122.334297
15204,Edgar Martinez Dr S & Occidental Ave S,47.5901985,-122.333473
15205,1st Ave S & S Hanford St,47.5759239,-122.334106
15206,1st Ave S & S Stacy St,47.5822334,-122.334106
15207,1st Ave S & S Holgate St,47.5864487,-122.334106
15211,1st Ave S & S Walker St,47.5836525,-122.334297
15212,1st Ave S & S Walker St,47.5842438,-122.334106
15230,1st Ave S & S Lander St,47.5796814,-122.334106
1530,S Jackson St & 5th Ave S,47.5992661,-122.328384
15380,1st Ave S & S Lander St,47.5792503,-122.334312
15395,1st Ave S & S Hanford St,47.5757523,-122.334312
1540,James St & 5th Ave,47.6038017,-122.329094
15451,SW Spokane St & Chelan Ave SW,47.5717201,-122.363365
15460,SW Spokane St & 26th Ave SW,47.5717125,-122.366165
15480,SW Admiral Way & SW City View St,47.5740433,-122.373474
15500,SW Admiral Way & SW Olga St,47.5801315,-122.376564
1551,S Jackson St & Occidental Ave Walk,47.5992737,-122.333282
15521,SW Admiral Way & 38th Ave SW,47.5812531,-122.380676
15532,SW Admiral Way & 41st Ave SW,47.5812454,-122.384743
15540,SW Admiral Way & California Ave SW,47.5812683,-122.386871
15570,SW Admiral Way & SW Waite St,47.5810471,-122.392273
1558,Columbia St & Alaskan Way,47.6024704,-122.33712
15580,SW Admiral Way & 49th Ave SW,47.5798187,-122.393707
15588,SW Admiral Way & 51st Ave SW,47.5793343,-122.397163
1559,Alaskan Way & Columbia St,47.602356,-122.337013
1560,James St & 3rd Ave,47.602932,-122.330826
1561,Alaskan Way S & S Jackson St,47.5996933,-122.335815
15610,SW Admiral Way & SW Lander St,47.5788994,-122.400673
1562,Alaskan Way S & S Jackson St,47.5987091,-122.336014
15630,SW Admiral Way & 57th Ave SW,47.5771675,-122.405319
15650,SW Admiral Way & 61st Ave SW,47.5759735,-122.41066
15651,63rd Ave SW & SW Admiral Way,47.5762405,-122.413239
